hour,start_edge,start_edge_vph,route_probability_sum,route_count
14,-C2_0,678.420780428466,0.999999999999998,37
14,-C2_1,678.420780428466,0.999999999999998,37
15,-A0_0,743.2960829555391,0.9999999999999982,37
15,-A0_1,743.296082955539,0.9999999999999981,37
15,-A1_1,743.2960829555386,0.9999999999999976,37
15,-A2_0,743.2960829555391,0.9999999999999982,37
15,-A2_1,743.296082955539,0.9999999999999981,37
15,-B0_0,743.2960829555386,0.9999999999999978,37
15,-B2_0,743.2960829555386,0.9999999999999978,37
15,-C0_0,743.2960829555389,0.999999999999998,37
15,-C0_1,743.2960829555389,0.999999999999998,37
15,-C1_1,743.2960829555386,0.9999999999999976,37
15,-C2_0,743.2960829555389,0.999999999999998,37
15,-C2_1,743.2960829555389,0.999999999999998,37
16,-A0_0,798.4205314632688,0.9999999999999982,37
16,-A0_1,798.4205314632688,0.9999999999999981,37
16,-A1_1,798.4205314632684,0.9999999999999976,37
16,-A2_0,798.4205314632688,0.9999999999999982,37
16,-A2_1,798.4205314632688,0.9999999999999981,37
16,-B0_0,798.4205314632686,0.9999999999999978,37
16,-B2_0,798.4205314632685,0.9999999999999978,37
16,-C0_0,798.4205314632688,0.999999999999998,37
16,-C0_1,798.4205314632687,0.999999999999998,37
16,-C1_1,798.4205314632684,0.9999999999999976,37
16,-C2_0,798.4205314632688,0.999999999999998,37
16,-C2_1,798.4205314632687,0.999999999999998,37
17,-A0_0,815.6103622645904,0.9999999999999982,37
17,-A0_1,815.6103622645904,0.9999999999999981,37
17,-A1_1,815.61036226459,0.9999999999999976,37
17,-A2_0,815.6103622645904,0.9999999999999982,37
17,-A2_1,815.6103622645904,0.9999999999999981,37
17,-B0_0,815.6103622645901,0.9999999999999978,37
17,-B2_0,815.6103622645901,0.9999999999999978,37
17,-C0_0,815.6103622645903,0.999999999999998,37
17,-C0_1,815.6103622645903,0.999999999999998,37
17,-C1_1,815.61036226459,0.9999999999999976,37
17,-C2_0,815.6103622645903,0.999999999999998,37
17,-C2_1,815.6103622645903,0.999999999999998,37
18,-A0_0,682.653714743856,0.9999999999999982,37
18,-A0_1,682.653714743856,0.9999999999999981,37
18,-A1_1,682.6537147438556,0.9999999999999976,37
18,-A2_0,682.653714743856,0.9999999999999982,37
18,-A2_1,682.653714743856,0.9999999999999981,37
18,-B0_0,682.6537147438556,0.9999999999999978,37
18,-B2_0,682.6537147438557,0.9999999999999978,37
18,-C0_0,682.6537147438559,0.999999999999998,37
18,-C0_1,682.6537147438559,0.999999999999998,37
18,-C1_1,682.6537147438556,0.9999999999999976,37
18,-C2_0,682.6537147438559,0.999999999999998,37
18,-C2_1,682.6537147438559,0.999999999999998,37
19,-A0_0,509.47385788545614,0.9999999999999982,37
19,-A0_1,509.4738578854561,0.9999999999999981,37
19,-A1_1,509.4738578854558,0.9999999999999976,37
19,-A2_0,509.47385788545614,0.9999999999999982,37
19,-A2_1,509.4738578854561,0.9999999999999981,37
19,-B0_0,509.4738578854559,0.9999999999999978,37
19,-B2_0,509.4738578854559,0.9999999999999978,37
