table,grid,condition,item,metric,value,n,ci_low,ci_high,standard_deviation,minimum,maximum,qaoa_mean,exact_global,hedges_g,median,level,rank
3,2x2,full-day,Classical Local,average_waiting_time,20.15,1,,,,,,,,,,,
3,2x2,full-day,Classical Local,throughput,63143.0,1,,,,,,,,,,,
3,2x2,full-day,Classical Global,average_travel_time,55.67,1,,,,,,,,,,,
3,2x2,full-day,Classical Global,average_waiting_time,20.19,1,,,,,,,,,,,
3,2x2,full-day,Classical Global,throughput,63185.0,1,,,,,,,,,,,
3,2x2,full-day,Max-Pressure,average_travel_time,52.62,1,,,,,,,,,,,
3,2x2,full-day,Max-Pressure,average_waiting_time,16.58,1,,,,,,,,,,,
3,2x2,full-day,Max-Pressure,throughput,63197.0,1,,,,,,,,,,,
3,2x2,full-day,SCOOT,average_travel_time,67.01,1,,,,,,,,,,,
3,2x2,full-day,SCOOT,average_waiting_time,28.54,1,,,,,,,,,,,
3,2x2,full-day,SCOOT,throughput,63068.0,1,,,,,,,,,,,
3,2x2,full-day,PressLight,average_travel_time,63.07,1,,,,,,,,,,,
3,2x2,full-day,PressLight,average_waiting_time,26.83,1,,,,,,,,,,,
3,2x2,full-day,PressLight,throughput,63233.0,1,,,,,,,,,,,
3,2x2,full-day,MPLight,average_travel_time,54.09,1,,,,,,,,,,,
3,2x2,full-day,MPLight,average_waiting_time,19.39,1,,,,,,,,,,,
3,2x2,full-day,MPLight,throughput,63148.0,1,,,,,,,,,,,
3,2x2,full-day,CoLight,average_travel_time,52.16,1,,,,,,,,,,,
3,2x2,full-day,CoLight,average_waiting_time,17.34,1,,,,,,,,,,,
3,2x2,full-day,CoLight,throughput,63139.0,1,,,,,,,,,,,
3,2x2,full-day,QAOA,average_travel_time,53.9915,20,,,0.668165398685086,,,,,,,,
3,2x2,full-day,QAOA,average_waiting_time,18.809,20,,,0.4032747528866511,,,,,,,,
3,2x2,full-day,QAOA,throughput,63158.2,20,,,32.289154118437516,,,,,,,,
3,3x3,full-day,Fixed-Time,average_travel_time,193.46,1,,,,,,,,,,,
3,3x3,full-day,Fixed-Time,average_waiting_time,54.04,1,,,,,,,,,,,
3,3x3,full-day,Fixed-Time,throughput,85529.0,1,,,,,,,,,,,
3,3x3,full-day,Classical Local,average_travel_time,95.47,1,,,,,,,,,,,
3,3x3,full-day,Classical Local,average_waiting_time,31.68,1,,,,,,,,,,,
3,3x3,full-day,Classical Local,throughput,96617.0,1,,,,,,,,,,,
3,3x3,full-day,Classical Global,average_travel_time,94.45,1,,,,,,,,,,,
3,3x3,full-day,Classical Global,average_waiting_time,30.18,1,,,,,,,,,,,
3,3x3,full-day,Classical Global,throughput,95627.0,1,,,,,,,,,,,
3,3x3,full-day,Max-Pressure,average_travel_time,93.66,1,,,,,,,,,,,
3,3x3,full-day,Max-Pressure,average_waiting_time,29.24,1,,,,,,,,,,,
