network,alpha,condition,run,shots,num_decisions,optimal_hits,optimum_recovery_rate,average_selected_energy,average_exact_min_energy,average_optimality_gap,average_travel_time,average_waiting_time,throughput
2x2,0.7,a7,15,512,600,595,0.9916666666666667,-92.26935,-92.41808333333333,0.14873333333333338,99.59,39.22,918.0
2x2,0.7,a7,16,512,600,598,0.9966666666666667,-93.00528333333332,-93.00978333333333,0.0044999999999999814,95.26,38.39,955.0
2x2,0.7,a7,17,512,600,597,0.995,-92.97418333333334,-93.00095,0.02676666666666667,95.26,38.39,955.0
2x2,0.7,a7,18,512,600,597,0.995,-93.05328333333334,-93.08191666666667,0.028633333333333344,95.26,38.39,955.0
2x2,0.7,a7,19,512,600,596,0.9933333333333333,-93.08465,-93.11525,0.03059999999999998,95.26,38.39,955.0
2x2,0.7,a7,20,512,600,597,0.995,-91.68866666666666,-91.77876666666667,0.0901,99.35,39.14,911.0
2x2,0.8,a8,1,512,600,594,0.99,-78.85783333333333,-78.92773333333334,0.0699,87.56,36.22,881.0
2x2,0.8,a8,2,512,600,594,0.99,-78.7294,-78.7796,0.05019999999999998,87.56,36.22,881.0
2x2,0.8,a8,3,512,600,595,0.9916666666666667,-78.70173333333334,-78.74233333333333,0.040599999999999976,87.56,36.22,881.0
2x2,0.8,a8,4,512,600,595,0.9916666666666667,-78.66866666666667,-78.71466666666667,0.046,87.56,36.22,881.0
2x2,0.8,a8,5,512,600,596,0.9933333333333333,-78.5998,-78.66196666666667,0.06216666666666666,87.56,36.22,881.0
2x2,0.8,a8,6,512,600,596,0.9933333333333333,-78.5607,-78.61953333333334,0.058833333333333314,87.56,36.22,881.0
2x2,0.8,a8,7,512,600,593,0.9883333333333333,-78.87593333333334,-78.95086666666666,0.07493333333333331,87.56,36.22,881.0
2x2,0.8,a8,8,512,600,594,0.99,-78.85733333333333,-78.949,0.09166666666666667,87.56,36.22,881.0
2x2,0.8,a8,9,512,600,596,0.9933333333333333,-78.6446,-78.715,0.07039999999999998,87.56,36.22,881.0
2x2,0.8,a8,10,512,600,597,0.995,-78.49686666666668,-78.52236666666667,0.025499999999999995,87.56,36.22,881.0
2x2,0.8,a8,11,512,600,595,0.9916666666666667,-78.71626666666667,-78.76823333333334,0.051966666666666654,87.56,36.22,881.0
2x2,0.8,a8,12,512,600,598,0.9966666666666667,-78.3057,-78.30756666666667,0.0018666666666666623,87.56,36.22,881.0
2x2,0.8,a8,13,512,600,596,0.9933333333333333,-78.70333333333333,-78.7798,0.07646666666666664,87.56,36.22,881.0
2x2,0.8,a8,14,512,600,596,0.9933333333333333,-78.639,-78.71743333333333,0.07843333333333333,88.33,36.6,877.0
2x2,0.8,a8,15,512,600,592,0.9866666666666667,-78.96586666666666,-79.06353333333334,0.09766666666666664,87.56,36.22,881.0
2x2,0.8,a8,16,512,600,595,0.9916666666666667,-78.67413333333334,-78.70913333333334,0.034999999999999955,87.56,36.22,881.0
2x2,0.8,a8,17,512,600,594,0.99,-78.78586666666666,-78.8745,0.08863333333333333,87.56,36.22,881.0
2x2,0.8,a8,18,512,600,596,0.9933333333333333,-78.68666666666667,-78.73490000000001,0.048233333333333316,87.56,36.22,881.0
