signal_id,signal_description,latitude,longitude,assigned_count_stations,u,total_N_flow,total_S_flow,total_E_flow,total_W_flow,total_NE_flow,total_NW_flow,total_SE_flow,total_SW_flow,max_station_distance,average_station_distance,nonzero_direction_buckets
28729,15TH AVE W AND W HOWE ST,47.6359530482407,-122.376137884957,11,190187.0,84839.0,105348.0,0.0,0.0,0.0,0.0,0.0,0.0,139.20769464626449,139.20769464626446,2
82008,9TH AVE N AND MERCER NR ST,47.6246868616188,-122.339741462527,24,189326.0,4826.0,184500.0,0.0,0.0,0.0,0.0,0.0,0.0,128.3238401008723,128.3238401008723,2
27455,23RD AVE W AND W GARFIELD ST ON RP,47.6333775542262,-122.387000051991,24,183667.0,0.0,0.0,91321.0,92346.0,0.0,0.0,0.0,0.0,113.57130648804934,113.57130648804934,2
36757,MELROSE AVE AND E DENNY WAY,47.6184967406838,-122.327853524935,12,183138.0,125097.0,0.0,31518.0,26523.0,0.0,0.0,0.0,0.0,138.54405733774462,124.67350534093508,3
2123,15TH AVE NW AND NW 80TH ST,47.6868781307407,-122.376792917535,42,183120.0,0.0,0.0,94295.0,88825.0,0.0,0.0,0.0,0.0,132.1537903062626,132.1537903062626,2
22508,FREMONT AVE N AND N 45TH ST,47.6613944265949,-122.350039512197,36,182146.0,97512.0,84634.0,0.0,0.0,0.0,0.0,0.0,0.0,134.67690336757167,134.6769033675717,2
82275,MONTLAKE CUT CONNCTR TRL AND RAINIER VISTA NE,47.650316253011,-122.305355265012,42,181748.0,0.0,0.0,41700.0,22932.0,54713.0,0.0,0.0,62403.0,144.29365226380227,144.29365226380227,4
82191,4TH AVE AND DENNY WAY,47.6185783950174,-122.349460526224,15,181264.0,6901.0,0.0,79583.0,91856.0,924.0,0.0,2000.0,0.0,65.51724249724882,47.24708932796657,5
82217,7TH AVE AND YESLER WAY,47.6017047568218,-122.323944880233,14,179388.0,166768.0,0.0,0.0,0.0,0.0,12620.0,0.0,0.0,80.00109557374584,80.00109557374584,2
983,12TH AVE S TURN RD AND BOREN AVE S,47.601192765222,-122.317311360325,21,179245.0,23339.0,31271.0,0.0,0.0,0.0,60400.0,64235.0,0.0,111.92948090501763,111.49135054919122,4
56215,1ST AV S OFF RP AND S SPOKANE SR ST,47.571392031955,-122.334318370519,5,177638.0,0.0,0.0,177638.0,0.0,0.0,0.0,0.0,0.0,53.325084173905076,53.325084173905076,1
21744,15TH AV W NB OFF RP AND W DRAVUS ST,47.6484682854012,-122.376108665824,12,175959.0,70696.0,74402.0,18390.0,12471.0,0.0,0.0,0.0,0.0,79.71062105904427,71.80669992754758,4
78142,S DONOVAN ST AND DEAD END 3 ,47.5256313666803,-122.324292783432,9,173286.0,0.0,0.0,0.0,0.0,0.0,0.0,173286.0,0.0,109.51708631595643,109.51708631595643,1
3115,3RD AVE NW AND NW 80TH ST,47.6869391534017,-122.360649978226,41,171548.0,88166.0,83382.0,0.0,0.0,0.0,0.0,0.0,0.0,134.38947303693362,134.19275815711285,2
40763,6TH AVE AND CHERRY ST,47.6048763674251,-122.328733506097,20,171303.0,0.0,0.0,74030.0,0.0,97273.0,0.0,0.0,0.0,135.25147897495606,135.2514789749561,2
36137,10TH AVE E AND E ALOHA ST,47.6268281557196,-122.320219629946,39,168862.0,0.0,0.0,88801.0,80061.0,0.0,0.0,0.0,0.0,132.00233060465638,132.0023306046563,2
36761,DENNY WAY AND STEWART ST,47.6184917572367,-122.330722962056,13,168714.0,0.0,0.0,18796.0,13241.0,0.0,0.0,0.0,136677.0,82.94142409649486,61.95326809943985,3
35302,FAIRVIEW AVE N AND ROY ST,47.6251206934303,-122.334335830214,8,167777.0,146312.0,6063.0,0.0,0.0,9029.0,0.0,0.0,6373.0,117.71888621102755,117.71888621102755,4
39112,DENNY WAY AND DEXTER AVE,47.6185501645335,-122.342401853968,12,166602.0,0.0,0.0,77205.0,89397.0,0.0,0.0,0.0,0.0,126.96115300429385,102.9391147814634,2
